NAME,ENTRADA1991,ENTRADA2000,SAIDA1991,SAIDA2000,SALDO1991,SALDO2000
Acre,12979,13634,14343,16070,-1364,-2436
Alagoas,60881,55966,112632,127948,-51751,-71983
Amapá,23641,44582,7147,15113,16494,29469
Amazonas,59366,89627,44286,58657,15080,30970
Bahia,186614,250571,469091,518036,-282477,-267465
Ceará,121652,162925,245164,186710,-123512,-23785
Distrito Federal,195233,216200,143674,188577,51560,27623
Espírito Santo,135421,129169,90909,95168,44511,34001
Goiás,268061,372702,156665,169900,111396,202802
Maranhão,103448,100816,237927,274469,-134479,-173653
Mato Grosso,226906,166299,118332,123724,108574,42575
Mato Grosso do Sul,124046,97709,105023,108738,19023,-11029
Minas Gerais,371886,447782,479397,408658,-107511,39124
Pará,212436,182043,183195,234239,29240,-52195
Paraíba,88902,102005,174058,163495,-85156,-61480
Paraná,269078,297311,475190,336998,-206113,-39686
Pernambuco,171678,164871,317232,280290,-145554,-115419
Piauí,72950,88740,139447,140815,-66480,-52075
Rio de Janeiro,253401,319749,295071,274213,-41671,45536
Rio Grande do Norte,75570,77916,76444,71287,-874,6630
Rio Grande do Sul,114295,113395,138854,152890,-24559,-39495
Rondônia,127061,83325,94462,72735,32599,10590
Roraima,35347,47752,6694,14379,28653,33373
Santa Catarina,170304,199653,125002,139667,45301,59986
São Paulo,1392791,1223811,647993,883885,744798,339926
Sergipe,55978,52111,42213,56928,13765,-4517
Tocantins,82326,95430,71805,82515,10521,12915
