iata,latitude,longitude,name,uf
1200013,-9.82777777777778,-7.09166666666667,Acrelândia,AC
1200054,-10.9413888888889,-7.56138888888889,Assis Brasil,AC
1200104,-11.0161111111111,-68.7480555555556,Brasiléia,AC
1200138,-9.83055555555556,-7.27166666666667,Bujari,AC
1200179,-10.5727777777778,-67.6755555555556,Capixaba,AC
1200203,-7.63111111111111,-72.67,Cruzeiro do Sul,AC
1200252,-11.0288888888889,-68.7413888888889,Epitaciolândia,AC
1200302,-8.16416666666667,-70.3536111111111,Feijó,AC
1200328,-9.43416666666667,-7.25888888888889,Jordão,AC
1200336,-7.61416666666667,-72.8958333333333,Mâncio Lima,AC
1200344,-8.83888888888889,-69.2597222222222,Manoel Urbano,AC
1200351,-8.94111111111111,-72.7916666666667,Marechal Thaumaturgo,AC
1200385,-10.3352777777778,-7.18833333333333,Plácido de Castro,AC
1200807,-9.58833333333333,-67.5325,Porto Acre,AC
1200393,-8.26861111111111,-72.7438888888889,Porto Walter,AC
1200401,-9.97472222222222,-67.81,Rio Branco,AC
1200427,-7.74166666666667,-72.6361111111111,Rodrigues Alves,AC
1200435,-9.43277777777778,-70.4933333333333,Santa Rosa do Purus,AC
1200500,-9.06555555555556,-68.6569444444444,Sena Madureira,AC
1200450,-1.02722222222222,-67.7391666666667,Senador Guiomard,AC
1200609,-8.16138888888889,-70.7655555555556,Tarauacá,AC
1200708,-10.6516666666667,-68.5044444444444,Xapuri,AC
